id,observed_on,time_observed_at,latitude,longitude,scientific_name,common_name
203414735,3/21/2024,2024-03-21 20:30:18 UTC,35.24640265,-101.8363505,Pandion haliaetus carolinensis,American Osprey
208625322,3/21/2024,2024-03-22 01:15:00 UTC,29.56289836,-94.39227417,Pandion haliaetus carolinensis,American Osprey
203488919,3/22/2024,2024-03-22 14:29:04 UTC,35.24660688,-101.8363131,Pandion haliaetus carolinensis,American Osprey
203704539,3/23/2024,2024-03-24 01:25:00 UTC,39.05131934,-122.9135956,Pandion haliaetus carolinensis,American Osprey
215438001,3/23/2024,2024-03-23 10:52:00 UTC,27.63326879,-97.23529107,Pandion haliaetus carolinensis,American Osprey
203760715,3/24/2024,,31.44911,-94.680846,Pandion haliaetus carolinensis,American Osprey
204104546,3/24/2024,2024-03-24 18:55:09 UTC,9.655146495,-85.07829566,Pandion haliaetus carolinensis,American Osprey
204442777,3/24/2024,2024-03-24 15:39:37 UTC,28.65627734,-81.56496435,Pandion haliaetus carolinensis,American Osprey
205929916,3/24/2024,2024-03-24 14:52:35 UTC,28.57557659,-80.99715091,Pandion haliaetus carolinensis,American Osprey
234274362,3/24/2024,2024-03-24 23:02:48 UTC,30.36234722,-88.56001389,Pandion haliaetus carolinensis,American Osprey
203989085,3/25/2024,2024-03-25 19:06:00 UTC,29.31391778,-94.82065417,Pandion haliaetus carolinensis,American Osprey
204418912,3/27/2024,2024-03-27 22:21:15 UTC,38.6779299,-77.1704109,Pandion haliaetus carolinensis,American Osprey
204419075,3/27/2024,2024-03-27 22:32:22 UTC,38.67778778,-77.16835686,Pandion haliaetus carolinensis,American Osprey
204419175,3/27/2024,2024-03-27 22:44:07 UTC,38.67555173,-77.16566613,Pandion haliaetus carolinensis,American Osprey
204400341,3/28/2024,2024-03-28 20:07:51 UTC,35.24693703,-101.8362706,Pandion haliaetus carolinensis,American Osprey
204453106,3/29/2024,2024-03-29 16:29:00 UTC,32.00905926,-80.84332198,Pandion haliaetus carolinensis,American Osprey
204641885,3/30/2024,2024-03-30 22:26:25 UTC,28.36996854,-80.60638919,Pandion haliaetus carolinensis,American Osprey
204652528,3/30/2024,2024-03-30 20:12:00 UTC,28.50174989,-81.3391913,Pandion haliaetus carolinensis,American Osprey
204828888,3/30/2024,2024-03-30 23:05:40 UTC,41.22478256,-73.11518941,Pandion haliaetus carolinensis,American Osprey
205022073,3/30/2024,2024-03-30 18:00:00 UTC,36.6703841,-75.9137968,Pandion haliaetus carolinensis,American Osprey
205022390,3/30/2024,2024-03-30 17:41:00 UTC,36.68528995,-75.9210491,Pandion haliaetus carolinensis,American Osprey
